Наименование;Площадь;Цена;Дата;Адрес;Ссылка
Коттедж 150 м² на участке 10 сот.;150.0;1500.0;09/08/2020;посёлок Затверечье, ул. Академика Туполева;https://www.avito.ru/tver/doma_dachi_kottedzhi/kottedzh_150_m_na_uchastke_10_sot._1786179730
Таунхаус 180 м² на участке 2 сот.;180.0;10500000.0;03/08/2020;Заволжский район, посёлок Затверечье, 1-я ул. Александра Невского, 10к18;https://www.avito.ru/tver/doma_dachi_kottedzhi/taunhaus_180_m_na_uchastke_2_sot._1941807224
Дом 96.4 м² на участке 4 сот.;96.4;4000000.0;03/08/2020;Заволжский район, посёлок Затверечье, 2-й пр. Новой Слободы;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_96.4_m_na_uchastke_4_sot._1964266748
Дом 43 м² на участке 10 сот.;43.0;6050000.0;28/07/2020;посёлок Затверечье, ул. Пленкина, 17;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_43_m_na_uchastke_10_sot._1943193875
Дом 200 м² на участке 3 сот.;200.0;6000000.0;28/07/2020;3-я Силикатная ул.;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_200_m_na_uchastke_3_sot._1884065794
Дом 500 м² на участке 10 сот.;500.0;260000.0;06/08/2020;посёлок Затверечье, наб. Реки Волги, 39;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_500_m_na_uchastke_10_sot._1913569570
Дом 88 м² на участке 8 сот.;88.0;4999000.0;27/07/2020;Заволжский район, посёлок Затверечье, ул. Серова;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_88_m_na_uchastke_8_sot._1507244075
Таунхаус 100 м² на участке 3 сот.;100.0;5500000.0;26/07/2020;Заволжский район, посёлок Затверечье, наб. Реки Волги, 1;https://www.avito.ru/tver/doma_dachi_kottedzhi/taunhaus_100_m_na_uchastke_3_sot._1953327659
Дом 48 м² на участке 3.5 сот.;48.0;2950000.0;28/07/2020;посёлок Затверечье, 2-й пр. Новой Слободы;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_48_m_na_uchastke_3.5_sot._1138654839
Дом 64 м² на участке 4.2 сот.;64.0;3300000.0;20/07/2020;ул. Новая Заря;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_64_m_na_uchastke_4.2_sot._1153982972
Коттедж 250 м² на участке 16 сот.;250.0;6500.0;20/07/2020;посёлок Затверечье, ул. Розы Люксембург, 18;https://www.avito.ru/tver/doma_dachi_kottedzhi/kottedzh_250_m_na_uchastke_16_sot._1351338650
Дом 108 м² на участке 4.5 сот.;108.0;6699000.0;15/07/2020;Заволжский район, посёлок Затверечье, ул. Серова, 36А;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_108_m_na_uchastke_4.5_sot._1962266362
Дом 85 м² на участке 7 сот.;85.0;2350000.0;21/07/2020;Бульварный пр., 4;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_85_m_na_uchastke_7_sot._1138020972
Дом 64 м² на участке 1 сот.;64.0;500000.0;15/07/2020;Заволжский район, посёлок Затверечье, 1-й Волжский пр., 10;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_64_m_na_uchastke_1_sot._1907420298
Дом 84.4 м² на участке 5.5 сот.;84.4;3899999.0;17/07/2020;посёлок Затверечье, ул. Академика Туполева, 36/47;https://www.avito.ru/tver/doma_dachi_kottedzhi/dom_84.4_m_na_uchastke_5.5_sot._1834293618
Коттедж 400 м² на участке 6 сот.;400.0;12000000.0;15/07/2020;ул. Герцена, 24/28;https://www.avito.ru/tver/doma_dachi_kottedzhi/kottedzh_400_m_na_uchastke_6_sot._1965304382
